URL, Type, Gender, Language, Duration, Comments, Availability, MD5
https://www.youtube.com/watch?v=N1nzpWXXqKE&list=PLlZ8mmxhMey3ynXDyXrh3Cr0ClRPCAyB9&index=3, Noise, N/A, N/A, 13 sec, , Valid, 52429f9effa01982c3d34dc5da90a08f
https://www.youtube.com/watch?v=MYvjpbUFx0Y&list=PLlZ8mmxhMey3ynXDyXrh3Cr0ClRPCAyB9&index=4, Noise, N/A, N/A, 30 sec, , Valid, 2e28991398e06693492d7a4fce4902a5
https://www.youtube.com/watch?v=N1nzpWXXqKE&list=PLlZ8mmxhMey3ynXDyXrh3Cr0ClRPCAyB9&index=3, Noise, N/A, N/A, 13 sec, , Valid, c076c0de2dfa8ff1a427763ecd18f923
https://www.youtube.com/watch?v=QY1Hcm-RtG4, VoiceStudio, Female, English, 9 min, , Valid, 2bedc55be790abae5e6ec955da03edea
https://www.youtube.com/watch?v=6qSXlTPr2HA, VoiceStudio, Male, English, 7 min 40 sec, , Valid, 8facee82b5a5cac96ecaffcb58b18c71
https://www.youtube.com/watch?v=D3ngrFpeM_A, VoiceReal, Multi, English, 9 min, , Valid, 7638dfdd1a3b7857092a6c76bf15b72d
https://www.youtube.com/watch?v=dgWANDHsTkQ, VoiceReal, Male, Other, 9 min 47 sec, , Valid, b2e82c0e2ae22f4849fb3c53999ffc16
https://www.youtube.com/watch?v=QVduwDX8YG0, VoiceReal, Male, English, 3 min 1 sec, keyboard sound from 1:25 till 2:40 timespan, Valid, 6306b26651e2293c49835ed294adb3e9
https://www.youtube.com/watch?v=5Xix__8yRtE, Noise, N/A, N/A, 7 min 32 sec, , INVALID!, 7fc9fb332d2c0c44a29cd5c696669d23
https://www.youtube.com/watch?v=UOS443b6JNU&list=PLDGWXUrEkstKnyX6Y8cDg5KI_z4aV0Lah&index=10, VoiceStudio, Male, Portugal, 4 min 43 sec, , Valid, 52dd4707eab2412371bd1373fa44c138
